id,system,body,siteID,extoolID,latitude,longitude,verified,visible,discoveredBy
67,974,888,67,\N,-1.8441,20.4949,1,1,171
68,974,888,68,\N,-11.7293,-40.8511,1,1,171
69,165,85,69,\N,50.7311,-32.1483,1,1,202
70,1413,1200,70,\N,-22.2384,33.4779,1,1,85
71,1399,1183,71,\N,-64.3718,-55.7859,0,1,69
72,1415,1203,72,\N,57.5679,59.0773,1,1,85
73,183,100,73,\N,83.6478,-102.6522,1,1,200
74,1732,1562,74,\N,-27.3359,-168.0797,1,1,166
75,438,410,75,\N,8.3285,68.0708,1,1,171
76,438,410,76,\N,11.0526,-170.7735,1,1,171
77,405,376,77,\N,8.2407,-96.0592,1,1,171
78,162,82,78,\N,9.1079,88.2455,1,1,171
79,162,82,79,\N,7.9014,-172.4354,1,1,171
80,162,82,80,\N,1.2863,-43.5617,1,1,171
81,162,82,81,\N,20.7736,77.8444,1,1,171
82,162,82,82,\N,-11.0148,15.9302,1,1,171
83,889,820,83,\N,6.8876,53.5052,1,1,171
84,889,820,84,\N,3.614,89.2502,1,1,171
85,794,768,85,\N,2.2175,-160.7892,1,1,69
86,794,768,86,\N,4.4279,-6.7368,1,1,69
87,889,820,87,\N,-5.3697,-163.383,1,1,171
88,181,98,88,\N,20.7961,66.4898,1,1,171
89,182,99,89,\N,9.6052,140.0072,1,1,171
90,180,97,90,\N,1.9271,-102.9887,1,1,171
91,163,83,91,\N,6.3825,165.1069,1,1,171
92,600,598,92,\N,-0.4561,111.4275,1,1,171
93,803,773,93,\N,8.5066,101.8355,1,1,171
94,803,773,94,\N,-4.5114,179.1629,1,1,171
95,428,398,95,\N,-1.1828,111.0286,0,1,69
96,794,768,96,\N,-37.1983,9.1229,1,1,38
97,428,398,97,\N,-6.3153,142.2379,0,1,69
98,564,560,98,\N,-1.3056,79.2587,0,1,69
99,1361,1144,99,\N,-69.8789,10.2234,1,1,85
100,599,596,100,\N,18.9746,89.8771,1,1,38
101,599,596,101,\N,66.3354,123.0142,1,1,38
102,599,596,102,\N,42.9764,-82.7134,1,1,38
103,599,596,103,\N,31.0358,-6.8257,1,1,38
104,759,715,104,\N,46.1536,164.5884,1,1,38
105,759,715,105,\N,-36.8407,-169.6971,1,1,38
106,749,701,106,\N,17.6665,42,0,1,38
107,1035,946,107,\N,-20.3547,-149.5565,1,1,38
108,681,656,108,\N,8.7061,-33.1501,1,1,38
109,1731,1561,109,\N,39.4727,110.1346,0,1,148
110,1409,1196,110,\N,61.517,140.5581,0,1,58
111,1043,955,111,\N,-42.6636,-27.7421,0,1,153
112,1043,955,112,\N,42.2128,-135.7698,0,1,153
113,1043,955,113,\N,-46.3897,-74.1152,0,1,153
114,1043,955,114,\N,7.8554,107.8801,0,1,153
115,1043,956,115,\N,-23.1593,-172.1332,0,1,153
116,1043,956,116,\N,-14.2068,86.4651,0,1,153
117,1043,956,117,\N,-42.129,-10.765,0,1,153
118,1043,956,118,\N,21.4791,45.9401,0,1,153
119,1420,1208,119,\N,-0.0613,-9.571,0,1,220
120,1420,1208,120,\N,-61.0614,40.9267,0,1,220
121,1042,954,121,\N,4.9694,34.6613,0,1,153
122,1042,954,122,\N,8.2025,114.1104,0,1,153
123,1042,954,123,\N,13.4662,-121.8567,0,1,153
124,1042,954,124,\N,54.1047,-110.9424,0,1,153
125,1420,1208,125,\N,26.3316,-99.2527,0,1,220
126,1420,1208,126,\N,-0.0511,-9.5851,0,1,220
127,1420,1208,127,\N,34.1448,-108.726,0,1,220
128,1420,1208,128,\N,-42.7758,117.224,0,1,220
129,1420,1209,129,\N,-7.9595,-144.7068,0,1,220
130,1420,1209,130,\N,-81.4841,-56.5188,0,1,220
131,1420,1209,131,\N,-18.0639,-118.3653,0,1,220
132,1420,1209,132,\N,-36.196,52.747,0,1,220
133,1420,1209,133,\N,-14.1621,172.8241,0,1,220
134,1420,1211,134,\N,9.1911,43.2561,0,1,220
135,1420,1211,135,\N,51.5982,-9.1604,0,1,220
136,1420,1211,136,\N,32.084,-118.0139,0,1,220
137,1420,1211,137,\N,-12.7536,-78.2992,0,1,220
138,1420,1211,138,\N,23.0921,-177.8132,0,1,220
139,1420,1210,139,\N,40.2933,-62.8785,0,1,220
140,967,881,140,\N,-54.6899,95.4565,0,1,162
141,968,882,141,\N,8.9663,-4.7549,0,1,162
142,1420,1210,142,\N,41.1472,-2.5507,0,1,220
143,1420,1210,143,\N,0.475,75.0499,0,1,220
144,1420,1210,144,\N,-21.9955,171.5839,0,1,220
145,1420,1210,145,\N,72.1404,-40.3139,0,1,220
146,1421,1212,146,\N,-39.825,18.3826,0,1,220
147,1421,1212,147,\N,-0.1418,-42.4218,0,1,220
148,1421,1212,148,\N,3.1893,-123.3623,0,1,220
149,1421,1212,149,\N,24.7956,72.4667,0,1,220
150,972,886,150,\N,-15.0826,118.4232,0,1,110
151,972,886,151,\N,15.6683,172.5991,0,1,110
152,1421,1213,152,\N,-25.0421,-119.8276,0,1,220
153,1421,1213,153,\N,29.7794,89.3894,0,1,220
154,1421,1213,154,\N,15.2497,53.6829,0,1,220
155,1421,1213,155,\N,-14.2175,-16.4767,0,1,220
156,539,526,156,\N,-50.2232,173.7147,0,1,34
157,539,526,157,\N,72.5835,-153.6969,0,1,34
158,971,885,158,\N,28.9825,-0.0832,0,1,110
