id,system,bodyName
66,157,BLAE EORK RU-D D13-20 5 D
67,157,BLAE EORK RU-D D13-20 7 A
68,158,BLAE EORK UL-J B56-1 A 2
69,158,BLAE EORK UL-J B56-1 A 3
70,159,BLAE HYPUE SW-E B28-1 1 B
71,160,BLAU AED GW-T D4-9 A 4 B A
72,161,BLEETHOAE CM-C D13-208 7 A
73,162,BLEIA DRYIAE MA-M B54-8 B 1 A
74,163,BLEIA DRYIAE UP-F B44-1 C 1
75,164,BLO AESCS UL-L B41-1 C 4 A
76,165,BLO AESCS YY-A D80 1 C A
77,166,BLU EUQ BM-C D13-24 AB 1 A
78,166,BLU EUQ BM-C D13-24 ABC 1 C A
79,168,BOEPP ZK-O E6-226 15 C A
80,169,BOEWNST HN-S E4-325 A 6 D A
81,170,BOEWNST TG-J D10-1066 3 A
82,174,BRESTLA A 14 C A
83,175,BUBBLE SECTOR LX-T B3-1 1 A
84,177,BYAA FLEE MT-N C21-0 C 3 A
85,177,BYAA FLEE MT-N C21-0 D 1
86,179,BYAE AOWSY GR-N D6-52 4 D A
87,181,BYOI THUA BU-R D4-32 AB 7 A A
88,182,BYOI THUA FY-F D12-0 4 D A
89,183,BYOI THUA JI-J D9-9 2 E A
90,184,BYOO BRE KS-S D4-0 C 3
91,185,BYOOE CHRAEA JL-P D5-1 B 3 A
92,186,BYUA AIM HY-F D12-1322 3 C A
93,187,BYUA AIM MX-K D8-4056 1 B
94,188,BYUA AIM TE-W C16-130 3 D A
95,189,CALIFORNIA SECTOR BA-A E6 4
96,190,CALIFORNIA SECTOR BV-Y C7 1
97,191,CALIFORNIA SECTOR DL-Y D4 C 2
98,191,CALIFORNIA SECTOR DL-Y D4 C 3
99,191,CALIFORNIA SECTOR DL-Y D4 C 4
100,191,CALIFORNIA SECTOR DL-Y D4 C 5
101,191,CALIFORNIA SECTOR DL-Y D4 C 6
102,192,CALIFORNIA SECTOR HR-W D1-28 2
103,193,CALIFORNIA SECTOR JH-V C2-12 6
104,194,CALIFORNIA SECTOR LC-V C2-10 A 3
105,194,CALIFORNIA SECTOR LC-V C2-10 A 4
106,194,CALIFORNIA SECTOR LC-V C2-10 A 5
107,194,CALIFORNIA SECTOR LC-V C2-10 A 6
108,194,CALIFORNIA SECTOR LC-V C2-10 A 7
109,194,CALIFORNIA SECTOR LC-V C2-10 B 1
110,195,CAVE SECTOR FB-X C1-3 1 A
111,196,CAVE SECTOR JH-V C2-8 A 1 A
112,197,CD-26 1339 B 1 A A
113,198,CD-41 11037 10 B A
114,200,CEPHEI SECTOR NX-U B2-0 B 5
115,202,CHAEA THAA EV-G D10-0 C 1
116,203,CHAEA THUA ZP-F C11-1 B 1
117,203,CHAEA THUA ZP-F C11-1 B 3
118,203,CHAEA THUA ZP-F C11-1 B 5
119,203,CHAEA THUA ZP-F C11-1 C 1
120,203,CHAEA THUA ZP-F C11-1 C 2
121,204,CHARICK DRIFT A
122,206,CHI PERSEI SECTOR IX-S D4-57 9 B A
123,207,CHO EUR OM-W D1-15 B 1
124,209,CHRAISAO FF-A D12 8 E A
125,210,CHRAISOAE HC-M D7-14 B 4 A
126,210,CHRAISOAE HC-M D7-14 B 4 B
127,211,CHRAISOU AK-R D4-41 AB 1 A
128,212,CHRAISUAE NF-Q C5-1 2 B
129,213,CHRAISUAE UD-T D3-1 5 A
130,214,CHU THUA HS-J B36-0 C 1
131,215,CLOOKUIA MI-K D8-2 E 2
132,215,CLOOKUIA MI-K D8-2 E 3
133,216,CLOOKUIA OI-K D8-8 1 C A
134,217,COALSACK DARK REGION YJ-A D57 5 A A
135,218,COELACHI 3 D
136,219,COEUS A 2
137,220,COL 132 SECTOR GH-V E2-13 7 E A
138,221,COL 132 SECTOR IN-S D4-64 5 A
139,222,COL 132 SECTOR LJ-O B36-3 B 2 A
140,223,COL 132 SECTOR NT-Q D5-51 3 D
141,224,COL 132 SECTOR UB-R C19-5 D 3
142,225,COL 132 SECTOR WD-N B9-1 A 1 A
143,226,COL 135 SECTOR BC-K B9-0 C 2 A
144,227,COL 135 SECTOR DL-N B7-0 1
145,228,COL 135 SECTOR FR-V C2-19 3
146,229,COL 135 SECTOR LC-V D2-62 1 C
147,230,COL 135 SECTOR RO-Q C5-5 C 4 A
148,231,COL 135 SECTOR RO-Q C5-7 E 1
149,232,COL 135 SECTOR TU-O C6-15 A 3
150,232,COL 135 SECTOR TU-O C6-15 D 1
151,233,COL 135 SECTOR TU-O C6-8 4
152,234,COL 135 SECTOR UU-O C6-2 A 1
153,235,COL 140 SECTOR IH-V D2-44 1 D A
154,236,COL 173 SECTOR AB-N D7-34 B 3
155,237,COL 173 SECTOR AI-H C11-22 B 1
156,238,COL 173 SECTOR AP-Q B21-2 A 8
157,238,COL 173 SECTOR AP-Q B21-2 B 4
158,239,COL 173 SECTOR AU-Y B30-2 B 4
159,240,COL 173 SECTOR AV-N B23-5 A 2
160,241,COL 173 SECTOR AY-F C12-0 A 1
161,242,COL 173 SECTOR BH-K B25-8 B 3
162,243,COL 173 SECTOR BH-L D8-72 B 5 A
163,244,COL 173 SECTOR BN-Y C15-3 A 3 A
164,245,COL 173 SECTOR BO-F C12-24 A 3
165,246,COL 173 SECTOR BV-O D6-55 6 A
166,247,COL 173 SECTOR BX-I C10-7 B 2
167,247,COL 173 SECTOR BX-I C10-7 B 3
168,248,COL 173 SECTOR CC-K B25-8 A 5
169,249,COL 173 SECTOR CG-M B24-8 A 4
170,249,COL 173 SECTOR CG-M B24-8 A 5
171,250,COL 173 SECTOR CH-L D8-14 D 1
172,250,COL 173 SECTOR CH-L D8-14 D 3
173,251,COL 173 SECTOR CI-Y C15-1 B 6 A
174,252,COL 173 SECTOR DG-M B24-4 A 2
175,252,COL 173 SECTOR DG-M B24-4 B 1
176,252,COL 173 SECTOR DG-M B24-4 B 2
177,252,COL 173 SECTOR DG-M B24-4 B 3
178,252,COL 173 SECTOR DG-M B24-4 B 4
179,253,COL 173 SECTOR DG-M B24-5 A 2 A
180,253,COL 173 SECTOR DG-M B24-5 B 5
181,253,COL 173 SECTOR DG-M B24-5 B 6
182,254,COL 173 SECTOR DH-K B25-2 A 5
183,254,COL 173 SECTOR DH-K B25-2 A 7
184,255,COL 173 SECTOR DK-Y B30-2 A 2
185,255,COL 173 SECTOR DK-Y B30-2 A 3
186,256,COL 173 SECTOR DM-U D3-82 A 2 A
187,257,COL 173 SECTOR DO-F C12-4 A 1
188,258,COL 173 SECTOR DZ-D C13-2 12 A
189,259,COL 173 SECTOR EC-K B25-0 6
190,260,COL 173 SECTOR EC-L D8-54 1 C
191,261,COL 173 SECTOR EM-L D8-69 B 2 A
192,262,COL 173 SECTOR EZ-D C13-25 B 1
193,263,COL 173 SECTOR FC-L D8-28 14 C
194,264,COL 173 SECTOR FS-I C10-2 B 4
195,265,COL 173 SECTOR FZ-D C13-30 2
196,266,COL 173 SECTOR GG-E B28-3 A 1 A
197,267,COL 173 SECTOR GS-J B25-4 D 2
198,268,COL 173 SECTOR HI-M A55-0 A 2
199,268,COL 173 SECTOR HI-M A55-0 A 3
200,269,COL 173 SECTOR HM-Z B28-1 A 3
201,269,COL 173 SECTOR HM-Z B28-1 A 4
202,270,COL 173 SECTOR HN-I B26-5 A 1
203,271,COL 173 SECTOR HN-J D9-52 1 A
204,271,COL 173 SECTOR HN-J D9-52 1 C A
205,271,COL 173 SECTOR HN-J D9-52 2 A
206,271,COL 173 SECTOR HN-J D9-52 2 B
207,272,COL 173 SECTOR HR-M B23-3 B 7
208,272,COL 173 SECTOR HR-M B23-3 C 1
209,272,COL 173 SECTOR HR-M B23-3 C 2
210,272,COL 173 SECTOR HR-M B23-3 C 5
211,273,COL 173 SECTOR HS-S D4-77 BC 4 A
212,274,COL 173 SECTOR HU-D C13-2 A 1
213,275,COL 173 SECTOR IJ-G B27-1 A 1
214,276,COL 173 SECTOR IL-M C8-5 4 A
215,277,COL 173 SECTOR IV-F B27-1 A 1 A
216,278,COL 173 SECTOR JB-F B27-1 A 4
217,278,COL 173 SECTOR JB-F B27-1 BC 3
218,279,COL 173 SECTOR JI-J B25-0 AB 2
219,280,COL 173 SECTOR JP-D C13-14 A 4
220,281,COL 173 SECTOR JX-K B24-0 B 2
221,281,COL 173 SECTOR JX-K B24-0 B 4
222,281,COL 173 SECTOR JX-K B24-0 B 4 A
223,282,COL 173 SECTOR KN-J B25-5 C 3
224,283,COL 173 SECTOR KP-T B34-8 B 2
225,284,COL 173 SECTOR KS-J D9-37 A 5 A
226,284,COL 173 SECTOR KS-J D9-37 A 5 B
227,285,COL 173 SECTOR KT-G B40-2 A 3
228,286,COL 173 SECTOR KY-Q D5-13 14 A
229,286,COL 173 SECTOR KY-Q D5-13 14 B
230,287,COL 173 SECTOR KY-Q D5-26 6 A
231,288,COL 173 SECTOR KY-Q D5-47 8 C
232,288,COL 173 SECTOR KY-Q D5-47 9 A
233,288,COL 173 SECTOR KY-Q D5-47 9 D
234,289,COL 173 SECTOR KY-Q D5-9 1 A
235,290,COL 173 SECTOR LB-W B31-0 C 1
236,291,COL 173 SECTOR LJ-F C12-0 A 3
237,291,COL 173 SECTOR LJ-F C12-0 B 6
238,291,COL 173 SECTOR LJ-F C12-0 B 7
239,292,COL 173 SECTOR LN-M B23-1 A 2
240,293,COL 173 SECTOR LT-Q D5-82 A 3
241,294,COL 173 SECTOR LT-Q D5-90 D 1
242,295,COL 173 SECTOR LY-Q D5-13 AB 9 A
243,295,COL 173 SECTOR LY-Q D5-13 AB 9 B
244,296,COL 173 SECTOR LY-Q D5-59 8 A
245,296,COL 173 SECTOR LY-Q D5-59 8 B
246,296,COL 173 SECTOR LY-Q D5-59 8 G
247,297,COL 173 SECTOR ME-P D6-92 B 5
248,298,COL 173 SECTOR MJ-H B26-0 B 1
249,299,COL 173 SECTOR MN-K B24-4 A 4 A
250,299,COL 173 SECTOR MN-K B24-4 B 3 A
251,300,COL 173 SECTOR NV-B C14-1 1
252,301,COL 173 SECTOR OC-C B29-1 A 4
253,302,COL 173 SECTOR OD-J B25-2 B 1
254,303,COL 173 SECTOR OE-P D6-11 B 3
255,303,COL 173 SECTOR OE-P D6-11 C 2
256,304,COL 173 SECTOR OG-Z C15-35 B 1
257,305,COL 173 SECTOR OT-Q D5-18 D 2
258,306,COL 173 SECTOR OZ-U B33-6 A 1
259,307,COL 173 SECTOR PE-P D6-110 A 2
260,308,COL 173 SECTOR PF-E B28-3 B 1
261,309,COL 173 SECTOR PN-V B18-0 B 4
262,310,COL 173 SECTOR PU-D C13-12 B 2 A
263,311,COL 173 SECTOR PV-B C14-1 D 2
264,312,COL 173 SECTOR PZ-O D6-110 5 A
265,313,COL 173 SECTOR PZ-O D6-116 6 D
266,314,COL 173 SECTOR QU-O D6-25 5 B
267,315,COL 173 SECTOR QU-O D6-32 3 A
268,315,COL 173 SECTOR QU-O D6-32 3 B
269,315,COL 173 SECTOR QU-O D6-32 3 E
270,315,COL 173 SECTOR QU-O D6-32 3 F
271,316,COL 173 SECTOR QY-B B29-0 6
272,317,COL 173 SECTOR RH-C B29-1 B 3
273,318,COL 173 SECTOR RT-I B25-1 B 1
274,319,COL 173 SECTOR RU-O D6-16 A 2 A
275,320,COL 173 SECTOR SI-I B26-8 A 3 A
276,321,COL 173 SECTOR SN-S D4-63 1 A
277,322,COL 173 SECTOR SX-B B29-1 B 1
278,323,COL 173 SECTOR TG-A C15-12 A 2 A
279,324,COL 173 SECTOR TJ-A B30-0 2
280,325,COL 173 SECTOR TZ-P D5-35 6 C A
281,326,COL 173 SECTOR UG-B C14-0 C 1
282,327,COL 173 SECTOR UP-O D6-16 11 A
283,328,COL 173 SECTOR UT-W B19-4 2
284,329,COL 173 SECTOR UU-O D6-20 6 C
285,329,COL 173 SECTOR UU-O D6-20 6 D
286,330,COL 173 SECTOR UU-O D6-30 4 D
287,330,COL 173 SECTOR UU-O D6-30 4 F
288,331,COL 173 SECTOR UU-O D6-42 A 1 C
289,332,COL 173 SECTOR UV-D B28-3 AB 2 A
290,332,COL 173 SECTOR UV-D B28-3 AB 3
291,332,COL 173 SECTOR UV-D B28-3 C 1
292,333,COL 173 SECTOR UZ-R B20-3 3 A
293,334,COL 173 SECTOR VN-A B30-1 C 3
294,335,COL 173 SECTOR VP-N D7-109 A 1 A
295,336,COL 173 SECTOR WF-N D7-52 B 2
296,337,COL 173 SECTOR WG-J C10-16 B 1
297,338,COL 173 SECTOR WK-A A48-4 A 3
298,339,COL 173 SECTOR WM-Y B31-2 AB 5 A
299,340,COL 173 SECTOR WN-B B29-1 D 1
300,341,COL 173 SECTOR WP-O B22-1 A 3
301,342,COL 173 SECTOR WW-H C11-15 5
302,343,COL 173 SECTOR WZ-O B22-4 C 5
303,343,COL 173 SECTOR WZ-O B22-4 C 6
304,344,COL 173 SECTOR XF-N D7-105 A 4 A
305,345,COL 173 SECTOR XG-J C10-17 A 2
306,345,COL 173 SECTOR XG-J C10-17 B 4
307,346,COL 173 SECTOR XH-H C11-21 B 1
308,347,COL 173 SECTOR XL-K B25-1 B 1
309,348,COL 173 SECTOR XT-Q B21-5 5 A
310,349,COL 173 SECTOR XY-Y B30-1 B 2
311,350,COL 173 SECTOR YA-N D7-17 A 2
312,350,COL 173 SECTOR YA-N D7-17 B 2
313,351,COL 173 SECTOR YF-N B23-5 A 1 A
314,351,COL 173 SECTOR YF-N B23-5 A 5
315,352,COL 173 SECTOR YF-N B23-6 A 3
316,353,COL 173 SECTOR YF-N C7-5 B 2
317,353,COL 173 SECTOR YF-N C7-5 B 3
318,354,COL 173 SECTOR YF-N D7-74 C 4
319,355,COL 173 SECTOR YG-A C15-12 B 1
320,356,COL 173 SECTOR YG-A C15-20 A 1
321,357,COL 173 SECTOR YQ-W A63-2 1
322,357,COL 173 SECTOR YQ-W A63-2 2
323,358,COL 173 SECTOR YV-M D7-23 A 7 A
324,359,COL 173 SECTOR YW-H C11-16 B 5 A
325,360,COL 173 SECTOR YX-Q A25-0 1
326,361,COL 173 SECTOR ZL-L B24-2 B 1
327,362,COL 173 SECTOR ZL-L B24-7 C 4
328,363,COL 173 SECTOR ZS-F C12-27 B 3
329,364,COL 173 SECTOR ZW-Z C14-10 1 C A
330,365,COL 173 SECTOR ZZ-N B23-1 B 1
331,367,COL 285 SECTOR BQ-X C1-10 1 A
332,368,COL 285 SECTOR CV-Y D57 AB 4 A
333,369,COL 285 SECTOR CV-Y D71 5 D
334,370,COL 285 SECTOR EB-X D1-39 4 A
335,375,COL 285 SECTOR GW-W D1-66 A 3
336,376,COL 285 SECTOR IL-X C1-16 A 4 A
337,377,COL 285 SECTOR IL-X C1-4 A 2 C
338,378,COL 285 SECTOR KY-H C10-26 1 A
339,382,COL 285 SECTOR OC-T B4-1 AB 1 C
340,384,COL 285 SECTOR RI-R B5-3 1
341,384,COL 285 SECTOR RI-R B5-3 8 B
342,388,COL 285 SECTOR YO-Z C19 B 2 A
343,389,COL 285 SECTOR ZZ-Y D22 2 A
344,390,COLONIA 3 A
345,390,COLONIA 3 C A
346,390,COLONIA 7 A A
347,391,CROOMOEA DA-A E7842 B 1 D A
348,392,DIAGUANDRI B 1
349,392,DIAGUANDRI B 2
350,394,DROETH OD-T D3-1 7 E A
351,395,DRYAEA AOB DR-M D7-2109 5 D
352,396,DRYAEA FLEE GC-D D12-2343 2 F A
353,397,DRYAEA FLEE GC-D D12-285 A 4 E A
354,398,DRYAEA FLEE GC-D D12-4611 2 D A
355,399,DRYAU AUSMS KG-Y E3390 AB 2 A
356,400,DRYEEJEAU ZX-H C23-2 1 D A
357,401,DRYI AOC CB-O E6-329 6 B A
358,402,DRYI AOC CH-C D13-218 2 C A
359,403,DRYOI GRIE NI-S E4-1229 3 A
360,404,DRYOOE PROU HH-C D475 3 B
361,405,DRYOOE PROU NI-A D1-1275 1 A
362,406,DRYUAE CHREA JH-V E2-8239 A 5 C
363,409,EACTAINDS DH-J D10-0 C 1
364,410,EACTAINDS VG-A C2-0 A 3 A
365,411,EAFOTS DU-C B41-1 10 A
366,412,EAWRAINT RS-U D2-127 3 B A
367,414,EESHORKS CV-Y E2660 10 C A
368,415,EESHORKS CV-Y E3683 7 A A
369,416,EESHORKS QI-B D1411 5 A A
370,416,EESHORKS QI-B D1411 6 C A
371,417,EESHORKS WO-A E197 8 A A
372,418,EESHORPS DY-G D11-1031 8 B A
373,419,EITOSY GM-T D4-0 C 1 A
374,420,EITOSY XU-O D6-0 2 A
375,421,ELECTRA 6
376,422,ELEPHANT'S TRUNK SECTOR DL-Y D4 2 A A
377,423,EOCH PROO KI-S E4-275 2 A
378,423,EOCH PROO KI-S E4-275 3 C
379,424,EOCH PRUAE JI-K D8-297 A 2 A
380,425,EOCK BLUAE PQ-X C1-0 B 3 A
381,426,EOCK FLYUAE PN-S D4-16 1
382,427,EOL PROU HU-R C4-127 1 A
383,428,EOL PROU NC-V E2-346 10 B A
384,429,EOL PROU PX-T D3-1732 B 2 A
385,430,EOL PROU VD-T E3-2324 A 3 A
386,430,EOL PROU VD-T E3-2324 A 3 C A
387,430,EOL PROU VD-T E3-2324 BC 5 C A
388,431,EOL PROU VY-R D4-545 4 A
389,432,EOR AUSCS MI-S E4-331 8 A E
390,433,EOR AUSCS NI-S E4-13 13 E
391,434,EOR AUSCS XV-K D9-166 D 1
392,435,EORD PRAU AC-B D14-628 D 1
393,436,EORL AUWSY AB-Y B56-28 B 2 A
394,437,EORL AUWSY CM-W B57-17 2 A
395,438,EORL AUWSY DH-W B57-58 A 1 A
396,439,EORL AUWSY DM-W B57-45 A 3
397,440,EORL AUWSY JR-N E6-6981 A 4 A
398,441,EORL AUWSY JR-N E6-7050 A 1 A
399,442,EORL AUWSY JX-Z C27-888 1 A
400,443,EORL AUWSY KN-Y C28-9 4 A
401,444,EORL AUWSY LN-Y C28-37 7 B
402,445,EORL AUWSY ND-Y C28-911 B 1 A
403,446,EORL AUWSY NS-B D13-2368 A 1 A
404,447,EORL AUWSY NS-B D13-4642 A 3 A
405,448,EORL AUWSY OS-B D13-1106 4 A
406,449,EORL AUWSY OS-B D13-132 A 2 B A
407,450,EORL AUWSY OS-B D13-1619 A 3 D
408,451,EORL AUWSY OS-B D13-1952 AB 3 A
409,452,EORL AUWSY PD-Y C28-54 6 A
410,453,EORL AUWSY PS-B D13-1805 4
411,454,EORL AUWSY PS-B D13-2869 A 1
412,455,EORL AUWSY PS-B D13-3974 1 B A
413,456,EORL AUWSY PS-B D13-4295 1 A
414,457,EORL AUWSY PS-B D13-4554 1 C A
415,458,EORL AUWSY PS-B D13-5023 A 3 A
416,459,EORL AUWSY PS-B D13-5388 1 A
417,460,EORL AUWSY PS-B D13-5711 1
418,461,EORL AUWSY PS-B D13-5884 B 2
419,462,EORL AUWSY PS-B D13-6242 2 C A
420,463,EORL AUWSY QD-A D14-1389 A 6 A
421,464,EORL AUWSY QD-A D14-255 B 4 A
422,465,EORL AUWSY QD-A D14-3169 2 A
423,466,EORL AUWSY QD-A D14-4515 A 1 B A
424,467,EORL AUWSY QD-A D14-4541 AB 1 A
425,468,EORL AUWSY QD-A D14-5136 4
426,469,EORL AUWSY QD-A D14-6193 7 A
427,470,EORL AUWSY QD-A D14-798 6 D
428,471,EORL AUWSY QN-B D13-4055 A 1 C A
429,472,EORL AUWSY QZ-Y B56-45 2
430,473,EORL AUWSY RD-A D14-3589 ABCD 1 B A
431,474,EORL AUWSY RD-A D14-4535 A 2 A
432,475,EORL AUWSY RY-Z D13-1614 2 B A
433,476,EORL AUWSY RZ-Z B55-16 A 3
434,477,EORL AUWSY SY-Z D13-1087 A 6 A
435,478,EORL AUWSY SY-Z D13-1137 4 E A
436,479,EORL AUWSY SY-Z D13-1139 A 3 B A
437,480,EORL AUWSY SY-Z D13-1143 ABCD 1 E A
438,481,EORL AUWSY SY-Z D13-1255 1 B
439,482,EORL AUWSY SY-Z D13-1424 4 C A
440,483,EORL AUWSY SY-Z D13-1499 A 4 C
441,484,EORL AUWSY SY-Z D13-1674 2 C
442,485,EORL AUWSY SY-Z D13-1749 5 B A
443,486,EORL AUWSY SY-Z D13-2020 3 C A
444,487,EORL AUWSY SY-Z D13-2262 AB 1 A A
445,488,EORL AUWSY SY-Z D13-2352 A 1 A
446,489,EORL AUWSY SY-Z D13-2376 1 A
447,490,EORL AUWSY SY-Z D13-2879 A 1 A
448,490,EORL AUWSY SY-Z D13-2879 A 1 B
449,491,EORL AUWSY SY-Z D13-3468 ABC 1 A
450,491,EORL AUWSY SY-Z D13-3468 ABC 1 H
451,491,EORL AUWSY SY-Z D13-3468 ABC 3 A
452,491,EORL AUWSY SY-Z D13-3468 ABC 3 C
453,492,EORL AUWSY SY-Z D13-350 AB 1 A
454,493,EORL AUWSY SY-Z D13-3556 1 B
455,494,EORL AUWSY SY-Z D13-3743 1 B A
456,495,EORL AUWSY SY-Z D13-3861 3 C
457,495,EORL AUWSY SY-Z D13-3861 4 B
458,495,EORL AUWSY SY-Z D13-3861 4 C
459,496,EORL AUWSY SY-Z D13-3932 1 B
460,497,EORL AUWSY SY-Z D13-4014 B 7 A
461,498,EORL AUWSY SY-Z D13-4045 5 A
462,498,EORL AUWSY SY-Z D13-4045 5 B
463,499,EORL AUWSY SY-Z D13-4137 2 B A
464,500,EORL AUWSY SY-Z D13-4239 BC 1 B A
465,501,EORL AUWSY SY-Z D13-4588 6 D A
466,502,EORL AUWSY SY-Z D13-4650 4 D A
467,503,EORL AUWSY SY-Z D13-4684 2 C A
468,504,EORL AUWSY SY-Z D13-4770 1 A
469,505,EORL AUWSY SY-Z D13-4952 6 B
470,506,EORL AUWSY SY-Z D13-5018 3 D A
471,507,EORL AUWSY SY-Z D13-5133 1 B
472,508,EORL AUWSY SY-Z D13-5358 8 B
473,509,EORL AUWSY SY-Z D13-5438 2 A A
474,509,EORL AUWSY SY-Z D13-5438 A 1 B A
475,510,EORL AUWSY SY-Z D13-544 3 C
476,510,EORL AUWSY SY-Z D13-544 3 E A
477,510,EORL AUWSY SY-Z D13-544 5 D
478,511,EORL AUWSY SY-Z D13-5541 A 3 C A
479,512,EORL AUWSY SY-Z D13-5549 A 1 E A
480,513,EORL AUWSY SY-Z D13-5758 2
481,514,EORL AUWSY SY-Z D13-5797 3 B
482,514,EORL AUWSY SY-Z D13-5797 4 B
483,514,EORL AUWSY SY-Z D13-5797 5 B A
484,514,EORL AUWSY SY-Z D13-5797 6 B A
485,514,EORL AUWSY SY-Z D13-5797 7 B
486,514,EORL AUWSY SY-Z D13-5797 9 B
487,515,EORL AUWSY SY-Z D13-6009 1 A A
488,516,EORL AUWSY SY-Z D13-967 1
489,517,EORL AUWSY TY-Z D13-1367 A 4 D A
490,518,EORL AUWSY TY-Z D13-2453 A 7 A
491,519,EORL AUWSY TY-Z D13-3300 A 4 A
492,520,EORL AUWSY TY-Z D13-3832 2 B
493,521,EORL AUWSY TY-Z D13-732 AB 3 A
494,522,EORL AUWSY UT-Z D13-1173 A 1 A
495,523,EORL AUWSY UT-Z D13-1617 A 1 A
496,524,EORL AUWSY UT-Z D13-2003 A 3 A
497,525,EORL AUWSY UT-Z D13-432 A 1 A A
498,526,EORL AUWSY VT-Z D13-1851 A 3 A
499,527,EORL AUWSY VZ-Z B55-41 5 A
500,528,EORL AUWSY XU-Z B55-3 4 A
501,529,EORL AUWSY YF-Y B56-16 B 3
502,529,EORL AUWSY YF-Y B56-16 B 4 A
503,529,EORL AUWSY YF-Y B56-16 C 3
504,530,EORL AUWSY ZZ-Z B55-50 B 1
505,532,EOWYG AOSCS XO-R D4-89 A 2 D
506,533,EPSILON ORIONIS AB 4 B
507,535,ETA CARINA SECTOR EL-Y D16 ABC 2 A
508,535,ETA CARINA SECTOR EL-Y D16 ABC 3 E A
509,535,ETA CARINA SECTOR EL-Y D16 ABC 4 A
510,535,ETA CARINA SECTOR EL-Y D16 ABC 6 A
511,536,ETA CARINA SECTOR EL-Y D19 3 A
512,537,ETA CARINA SECTOR GW-W C1-6 A 1
513,537,ETA CARINA SECTOR GW-W C1-6 A 2
514,538,ETA CARINA SECTOR IM-V C2-4 A 2
515,539,ETA CARINA SECTOR IR-W D1-10 A 1 D A
516,539,ETA CARINA SECTOR IR-W D1-10 A 2 C
517,539,ETA CARINA SECTOR IR-W D1-10 A 3 A
518,539,ETA CARINA SECTOR IR-W D1-10 A 3 C
519,540,ETA CARINA SECTOR IR-W D1-25 14 B
520,541,ETA CARINA SECTOR LC-V C2-8 CD 1 A
521,541,ETA CARINA SECTOR LC-V C2-8 CD 2
